playerID,year,stint,tmID,dRebounds,dq,pos,height,weight,college,birthYear,award,confID,rank,playoff,firstRound,semis,finals,won,lost,homeW,homeL,awayW,awayL,confW,confL,min,attend,W,L,PER,TS%,eFG%,stocks
anosini01w,10,0,MIN,149,1,C,75.0,211,1,1986,[],WE,5,0,001,001,001,14,20,9,8,5,12,7,13,6875,128127,0.0,0.0,23.880247904604293,56.5133006050919,49.24528301886792,109
arcaija01w,1,0,HOU,83,1,G,71.0,147,1,1969,[],WE,2,1,100,100,100,27,5,14,2,13,3,17,4,6475,196077,6.0,0.0,14.891211646689479,52.63984915147706,48.712446351931334,45
arcaija01w,2,0,HOU,87,1,G,71.0,147,1,1969,['Most Improved Player'],WE,4,1,010,001,001,19,13,11,5,8,8,13,8,6450,181115,0.0,2.0,23.756215807555122,51.391304347826086,44.79371316306484,63
arcaija01w,3,0,HOU,84,0,G,71.0,147,1,1969,[],WE,2,1,010,001,001,24,8,14,2,10,6,16,5,6425,188648,1.0,2.0,15.790852025882318,51.875498802873096,44.03973509933775,57
arcaija01w,4,0,HOU,112,0,G,71.0,147,1,1969,[],WE,2,1,010,001,001,20,14,14,3,6,11,14,10,6825,150203,1.0,2.0,17.667516002010014,53.37201664112109,47.99382716049383,42
arcaija01w,6,0,HOU,73,0,G,71.0,147,1,1969,[],WE,3,1,100,010,001,19,15,11,6,8,9,11,11,6875,120676,2.0,3.0,15.962943897705715,49.513551077136896,42.598684210526315,61
askamma01w,1,0,MIA,135,0,C,77.0,198,1,1970,[],EA,6,0,001,001,001,13,19,9,7,4,12,9,12,6475,127721,0.0,0.0,19.11986642941544,48.18028255528255,40.909090909090914,38
askamma01w,2,0,MIA,52,0,C,77.0,198,1,1970,[],EA,3,1,010,001,001,20,12,10,6,10,6,14,7,6575,141717,1.0,2.0,13.098259015384683,51.33185349611543,48.275862068965516,23
askamma01w,3,2,LAS,25,0,C,77.0,198,1,1970,[],WE,1,1,100,100,100,25,7,12,4,13,3,17,4,6475,186410,6.0,0.0,17.23362855839495,49.86919555264879,47.27272727272727,15
askamma01w,3,1,MIA,5,0,C,77.0,198,1,1970,[],EA,6,0,001,001,001,15,17,9,7,6,10,11,10,6475,141252,0.0,0.0,17.23362855839495,37.06199460916442,40.0,2
atkinla01w,7,0,IND,51,0,G-F,72.0,172,1,1984,[],EA,3,1,010,001,001,21,13,12,5,9,8,12,8,6850,122768,0.0,2.0,11.675721158281759,47.523041474654384,46.55172413793103,23
atkinla01w,8,0,SAC,31,0,G-F,72.0,172,1,1984,[],WE,3,1,010,001,001,19,15,12,5,7,10,12,10,6950,142575,1.0,2.0,11.238117094215099,52.384393063583815,46.808510638297875,15
atkinla01w,9,0,SAC,11,0,G-F,72.0,172,1,1984,[],WE,4,1,010,001,001,18,16,13,4,5,12,9,11,6800,139066,1.0,2.0,8.072288557464683,39.41441441441441,37.5,7
atkinla01w,10,0,SEA,12,0,G-F,72.0,172,1,1984,[],WE,2,1,010,001,001,20,14,13,4,7,10,13,7,7025,133858,1.0,2.0,18.383524276275743,28.15315315315315,25.0,11
